date,Date,CDID,Value,Value_s,series,frequency
1948 AUG,1948-8-15,CZBH,7.9,7.9,RPI,monthly
1948 AUG,1948-8-15,D7G7,,null,CPI,monthly
1948 AUG,1948-8-15,L55O,,null,CPIH,monthly
1948 DEC,1948-12-15,CZBH,4.9,4.9,RPI,monthly
1948 DEC,1948-12-15,D7G7,,null,CPI,monthly
1948 DEC,1948-12-15,L55O,,null,CPIH,monthly
1948 JUL,1948-7-15,CZBH,7.2,7.2,RPI,monthly
1948 JUL,1948-7-15,D7G7,,null,CPI,monthly
1948 JUL,1948-7-15,L55O,,null,CPIH,monthly
1948 JUN,1948-6-15,CZBH,9.699999999999999,9.7,RPI,monthly
1948 JUN,1948-6-15,D7G7,,null,CPI,monthly
1948 JUN,1948-6-15,L55O,,null,CPIH,monthly
1948 NOV,1948-11-15,CZBH,5.1,5.1,RPI,monthly
1948 NOV,1948-11-15,D7G7,,null,CPI,monthly
1948 NOV,1948-11-15,L55O,,null,CPIH,monthly
1948 OCT,1948-10-15,CZBH,7,7,RPI,monthly
1948 OCT,1948-10-15,D7G7,,null,CPI,monthly
1948 OCT,1948-10-15,L55O,,null,CPIH,monthly
1948 Q3,1948-7-15,CZBH,7.6,7.6,RPI,quarterly
1948 Q3,1948-7-15,D7G7,,null,CPI,quarterly
1948 Q3,1948-7-15,L55O,,null,CPIH,quarterly
1948 Q4,1948-10-15,CZBH,5.7,5.7,RPI,quarterly
1948 Q4,1948-10-15,D7G7,,null,CPI,quarterly
1948 Q4,1948-10-15,L55O,,null,CPIH,quarterly
1948 SEP,1948-9-15,CZBH,7.6,7.6,RPI,monthly
1948 SEP,1948-9-15,D7G7,,null,CPI,monthly
1948 SEP,1948-9-15,L55O,,null,CPIH,monthly
1949,1949,CZBH,2.8,2.8,RPI,annual
1949,1949,D7G7,,null,CPI,annual
1949,1949,L55O,,null,CPIH,annual
1949 APR,1949-4-15,CZBH,.6,.6,RPI,monthly
1949 APR,1949-4-15,D7G7,,null,CPI,monthly
1949 APR,1949-4-15,L55O,,null,CPIH,monthly
1949 AUG,1949-8-15,CZBH,3.1,3.1,RPI,monthly
1949 AUG,1949-8-15,D7G7,,null,CPI,monthly
1949 AUG,1949-8-15,L55O,,null,CPIH,monthly
1949 DEC,1949-12-15,CZBH,3.5,3.5,RPI,monthly
1949 DEC,1949-12-15,D7G7,,null,CPI,monthly
1949 DEC,1949-12-15,L55O,,null,CPIH,monthly
1949 FEB,1949-2-15,CZBH,2.9,2.9,RPI,monthly
1949 FEB,1949-2-15,D7G7,,null,CPI,monthly
1949 FEB,1949-2-15,L55O,,null,CPIH,monthly
1949 JAN,1949-1-15,CZBH,4.6,4.6,RPI,monthly
1949 JAN,1949-1-15,D7G7,,null,CPI,monthly
1949 JAN,1949-1-15,L55O,,null,CPIH,monthly
1949 JUL,1949-7-15,CZBH,3,3,RPI,monthly
1949 JUL,1949-7-15,D7G7,,null,CPI,monthly
1949 JUL,1949-7-15,L55O,,null,CPIH,monthly
1949 JUN,1949-6-15,CZBH,1.3,1.3,RPI,monthly
1949 JUN,1949-6-15,D7G7,,null,CPI,monthly
1949 JUN,1949-6-15,L55O,,null,CPIH,monthly
1949 MAR,1949-3-15,CZBH,2.3,2.3,RPI,monthly
1949 MAR,1949-3-15,D7G7,,null,CPI,monthly
1949 MAR,1949-3-15,L55O,,null,CPIH,monthly
1949 MAY,1949-5-15,CZBH,2.6,2.6,RPI,monthly
1949 MAY,1949-5-15,D7G7,,null,CPI,monthly
1949 MAY,1949-5-15,L55O,,null,CPIH,monthly
1949 NOV,1949-11-15,CZBH,3.3,3.3,RPI,monthly
1949 NOV,1949-11-15,D7G7,,null,CPI,monthly
1949 NOV,1949-11-15,L55O,,null,CPIH,monthly
1949 OCT,1949-10-15,CZBH,3.6,3.6,RPI,monthly
1949 OCT,1949-10-15,D7G7,,null,CPI,monthly
1949 OCT,1949-10-15,L55O,,null,CPIH,monthly
1949 Q1,1949-1-15,CZBH,3.3,3.3,RPI,quarterly
1949 Q1,1949-1-15,D7G7,,null,CPI,quarterly
1949 Q1,1949-1-15,L55O,,null,CPIH,quarterly
1949 Q2,1949-4-15,CZBH,1.5,1.5,RPI,quarterly
1949 Q2,1949-4-15,D7G7,,null,CPI,quarterly
1949 Q2,1949-4-15,L55O,,null,CPIH,quarterly
1949 Q3,1949-7-15,CZBH,3.1,3.1,RPI,quarterly
1949 Q3,1949-7-15,D7G7,,null,CPI,quarterly
1949 Q3,1949-7-15,L55O,,null,CPIH,quarterly
1949 Q4,1949-10-15,CZBH,3.5,3.5,RPI,quarterly
1949 Q4,1949-10-15,D7G7,,null,CPI,quarterly
1949 Q4,1949-10-15,L55O,,null,CPIH,quarterly
1949 SEP,1949-9-15,CZBH,3.2,3.2,RPI,monthly
1949 SEP,1949-9-15,D7G7,,null,CPI,monthly
1949 SEP,1949-9-15,L55O,,null,CPIH,monthly
1950,1950,CZBH,3.1,3.1,RPI,annual
1950,1950,D7G7,,null,CPI,annual
1950,1950,L55O,,null,CPIH,annual
1950 APR,1950-4-15,CZBH,4.9,4.9,RPI,monthly
1950 APR,1950-4-15,D7G7,,null,CPI,monthly
1950 APR,1950-4-15,L55O,,null,CPIH,monthly
1950 AUG,1950-8-15,CZBH,1.7,1.7,RPI,monthly
1950 AUG,1950-8-15,D7G7,,null,CPI,monthly
1950 AUG,1950-8-15,L55O,,null,CPIH,monthly
1950 DEC,1950-12-15,CZBH,3.2,3.2,RPI,monthly
1950 DEC,1950-12-15,D7G7,,null,CPI,monthly
1950 DEC,1950-12-15,L55O,,null,CPIH,monthly
1950 FEB,1950-2-15,CZBH,3.7,3.7,RPI,monthly
1950 FEB,1950-2-15,D7G7,,null,CPI,monthly
1950 FEB,1950-2-15,L55O,,null,CPIH,monthly
1950 JAN,1950-1-15,CZBH,3.6,3.6,RPI,monthly
1950 JAN,1950-1-15,D7G7,,null,CPI,monthly
1950 JAN,1950-1-15,L55O,,null,CPIH,monthly
1950 JUL,1950-7-15,CZBH,2.2,2.2,RPI,monthly
1950 JUL,1950-7-15,D7G7,,null,CPI,monthly
1950 JUL,1950-7-15,L55O,,null,CPIH,monthly
1950 JUN,1950-6-15,CZBH,2.3,2.3,RPI,monthly
1950 JUN,1950-6-15,D7G7,,null,CPI,monthly
1950 JUN,1950-6-15,L55O,,null,CPIH,monthly
1950 MAR,1950-3-15,CZBH,4.2,4.2,RPI,monthly
1950 MAR,1950-3-15,D7G7,,null,CPI,monthly
1950 MAR,1950-3-15,L55O,,null,CPIH,monthly
1950 MAY,1950-5-15,CZBH,3.3,3.3,RPI,monthly
1950 MAY,1950-5-15,D7G7,,null,CPI,monthly
1950 MAY,1950-5-15,L55O,,null,CPIH,monthly
1950 NOV,1950-11-15,CZBH,2.9,2.9,RPI,monthly
1950 NOV,1950-11-15,D7G7,,null,CPI,monthly
1950 NOV,1950-11-15,L55O,,null,CPIH,monthly
1950 OCT,1950-10-15,CZBH,2.5,2.5,RPI,monthly
1950 OCT,1950-10-15,D7G7,,null,CPI,monthly
1950 OCT,1950-10-15,L55O,,null,CPIH,monthly
1950 Q1,1950-1-15,CZBH,3.8,3.8,RPI,quarterly
1950 Q1,1950-1-15,D7G7,,null,CPI,quarterly
1950 Q1,1950-1-15,L55O,,null,CPIH,quarterly
1950 Q2,1950-4-15,CZBH,3.5,3.5,RPI,quarterly
1950 Q2,1950-4-15,D7G7,,null,CPI,quarterly
1950 Q2,1950-4-15,L55O,,null,CPIH,quarterly
1950 Q3,1950-7-15,CZBH,2,2,RPI,quarterly
1950 Q3,1950-7-15,D7G7,,null,CPI,quarterly
1950 Q3,1950-7-15,L55O,,null,CPIH,quarterly
1950 Q4,1950-10-15,CZBH,2.9,2.9,RPI,quarterly
