Date,date,AUSS,id,USDGBP,frequency
Impo--15,Important notes,,8,,
1945,1945,,9,,annual
1946,1946,,10,,annual
1947,1947,,11,,annual
1948,1948,,12,,annual
1949,1949,,13,,annual
1950,1950,,14,,annual
1951,1951,,15,,annual
1952,1952,,16,,annual
1953,1953,,17,,annual
1954,1954,,18,,annual
1955,1955,,19,,annual
1956,1956,,20,,annual
1957,1957,,21,,annual
1958,1958,,22,,annual
1959,1959,,23,,annual
1960,1960,,24,,annual
1961,1961,,25,,annual
1962,1962,,26,,annual
1963,1963,,27,,annual
1964,1964,,28,,annual
1965,1965,,29,,annual
1966,1966,,30,,annual
1967,1967,,31,,annual
1968,1968,,32,,annual
1969,1969,,33,,annual
1970,1970,,34,,annual
1971,1971,,35,,annual
1972,1972,,36,,annual
1973,1973,,37,,annual
1974,1974,,38,,annual
1975,1975,,39,,annual
1976,1976,,40,,annual
1977,1977,,41,,annual
1978,1978,,42,,annual
1979,1979,,43,,annual
1980,1980,,44,,annual
1981,1981,,45,,annual
1982,1982,,46,,annual
1983,1983,,47,,annual
1984,1984,,48,,annual
1985,1985,,49,,annual
1986,1986,,50,,annual
1987,1987,,51,,annual
1988,1988,,52,,annual
1989,1989,,53,,annual
1990,1990,,54,,annual
1991,1991,,55,,annual
1992,1992,,56,,annual
1993,1993,,57,,annual
1994,1994,,58,,annual
1995,1995,,59,,annual
1996,1996,,60,,annual
1997,1997,1.6378,61,.61057514,annual
1998,1998,1.657,62,.60350031,annual
1999,1999,1.6183,63,.61793238,annual
2000,2000,1.5162,64,.65954357,annual
2001,2001,1.44,65,.69444442,annual
2002,2002,1.5026,66,.6655131,annual
2003,2003,1.6349,67,.61165822,annual
2004,2004,1.832,68,.54585153,annual
2005,2005,1.8197,69,.54954112,annual
2006,2006,1.8429,70,.54262304,annual
2007,2007,2.0018,71,.4995504,annual
2008,2008,1.8528,72,.53972363,annual
2009,2009,1.5651,73,.63893682,annual
2010,2010,1.546,74,.64683056,annual
2011,2011,1.6032,75,.62375247,annual
2012,2012,1.5853,76,.63079542,annual
2013,2013,1.5642,77,.63930446,annual
2014,2014,1.6477,78,.60690659,annual
2015,2015,1.5285,79,.6542362,annual
2016,2016,1.355,80,.73800737,annual
2017,2017,1.289,81,.77579516,annual
2018,2018,1.3356,82,.74872714,annual
2019,2019,1.277,83,.78308535,annual
2020,2020,1.2835,84,.77911961,annual
1945-1-15,1945 Q1,,85,,quarterly
1945-4-15,1945 Q2,,86,,quarterly
1945-7-15,1945 Q3,,87,,quarterly
1945-10-15,1945 Q4,,88,,quarterly
1946-1-15,1946 Q1,,89,,quarterly
1946-4-15,1946 Q2,,90,,quarterly
1946-7-15,1946 Q3,,91,,quarterly
1946-10-15,1946 Q4,,92,,quarterly
1947-1-15,1947 Q1,,93,,quarterly
1947-4-15,1947 Q2,,94,,quarterly
1947-7-15,1947 Q3,,95,,quarterly
1947-10-15,1947 Q4,,96,,quarterly
1948-1-15,1948 Q1,,97,,quarterly
1948-4-15,1948 Q2,,98,,quarterly
1948-7-15,1948 Q3,,99,,quarterly
1948-10-15,1948 Q4,,100,,quarterly
1949-1-15,1949 Q1,,101,,quarterly
1949-4-15,1949 Q2,,102,,quarterly
1949-7-15,1949 Q3,,103,,quarterly
1949-10-15,1949 Q4,,104,,quarterly
1950-1-15,1950 Q1,,105,,quarterly
1950-4-15,1950 Q2,,106,,quarterly
1950-7-15,1950 Q3,,107,,quarterly
1950-10-15,1950 Q4,,108,,quarterly
1951-1-15,1951 Q1,,109,,quarterly
1951-4-15,1951 Q2,,110,,quarterly
1951-7-15,1951 Q3,,111,,quarterly
1951-10-15,1951 Q4,,112,,quarterly
1952-1-15,1952 Q1,,113,,quarterly
1952-4-15,1952 Q2,,114,,quarterly
1952-7-15,1952 Q3,,115,,quarterly
1952-10-15,1952 Q4,,116,,quarterly
1953-1-15,1953 Q1,,117,,quarterly
1953-4-15,1953 Q2,,118,,quarterly
1953-7-15,1953 Q3,,119,,quarterly
