Entry,Type,Value,Leverage,House Value,Entry2,LevRatio
Assets,House,200000,1,200000,A,A. 1
Assets,House,210000,1,210000,A,A. 1
Assets,House,220000,1,220000,A,A. 1
Assets,House,230000,1,230000,A,A. 1
Assets,House,240000,1,240000,A,A. 1
Assets,House,250000,1,250000,A,A. 1
Assets,House,260000,1,260000,A,A. 1
Assets,House,270000,1,270000,A,A. 1
Assets,House,280000,1,280000,A,A. 1
Assets,House,290000,1,290000,A,A. 1
Assets,House,300000,1,300000,A,A. 1
Assets,House,310000,1,310000,A,A. 1
Assets,House,320000,1,320000,A,A. 1
Assets,House,330000,1,330000,A,A. 1
Assets,House,340000,1,340000,A,A. 1
Assets,House,350000,1,350000,A,A. 1
Assets,House,360000,1,360000,A,A. 1
Assets,House,370000,1,370000,A,A. 1
Assets,House,380000,1,380000,A,A. 1
Assets,House,390000,1,390000,A,A. 1
Assets,House,400000,1,400000,A,A. 1
Liabilities,Debt,0,1,200000,L,A. 1
Liabilities,Debt,0,1,210000,L,A. 1
Liabilities,Debt,0,1,220000,L,A. 1
Liabilities,Debt,0,1,230000,L,A. 1
Liabilities,Debt,0,1,240000,L,A. 1
Liabilities,Debt,0,1,250000,L,A. 1
Liabilities,Debt,0,1,260000,L,A. 1
Liabilities,Debt,0,1,270000,L,A. 1
Liabilities,Debt,0,1,280000,L,A. 1
Liabilities,Debt,0,1,290000,L,A. 1
Liabilities,Debt,0,1,300000,L,A. 1
Liabilities,Debt,0,1,310000,L,A. 1
Liabilities,Debt,0,1,320000,L,A. 1
Liabilities,Debt,0,1,330000,L,A. 1
Liabilities,Debt,0,1,340000,L,A. 1
Liabilities,Debt,0,1,350000,L,A. 1
Liabilities,Debt,0,1,360000,L,A. 1
Liabilities,Debt,0,1,370000,L,A. 1
Liabilities,Debt,0,1,380000,L,A. 1
Liabilities,Debt,0,1,390000,L,A. 1
Liabilities,Debt,0,1,400000,L,A. 1
Liabilities,Equity,200000,1,200000,L,A. 1
Liabilities,Equity,210000,1,210000,L,A. 1
Liabilities,Equity,220000,1,220000,L,A. 1
Liabilities,Equity,230000,1,230000,L,A. 1
Liabilities,Equity,240000,1,240000,L,A. 1
Liabilities,Equity,250000,1,250000,L,A. 1
Liabilities,Equity,260000,1,260000,L,A. 1
Liabilities,Equity,270000,1,270000,L,A. 1
Liabilities,Equity,280000,1,280000,L,A. 1
Liabilities,Equity,290000,1,290000,L,A. 1
Liabilities,Equity,300000,1,300000,L,A. 1
Liabilities,Equity,310000,1,310000,L,A. 1
Liabilities,Equity,320000,1,320000,L,A. 1
Liabilities,Equity,330000,1,330000,L,A. 1
Liabilities,Equity,340000,1,340000,L,A. 1
Liabilities,Equity,350000,1,350000,L,A. 1
Liabilities,Equity,360000,1,360000,L,A. 1
Liabilities,Equity,370000,1,370000,L,A. 1
Liabilities,Equity,380000,1,380000,L,A. 1
Liabilities,Equity,390000,1,390000,L,A. 1
Liabilities,Equity,400000,1,400000,L,A. 1
Assets,House,200000,2,200000,A,B. 2
Assets,House,210000,2,210000,A,B. 2
Assets,House,220000,2,220000,A,B. 2
Assets,House,230000,2,230000,A,B. 2
Assets,House,240000,2,240000,A,B. 2
Assets,House,250000,2,250000,A,B. 2
Assets,House,260000,2,260000,A,B. 2
Assets,House,270000,2,270000,A,B. 2
Assets,House,280000,2,280000,A,B. 2
Assets,House,290000,2,290000,A,B. 2
Assets,House,300000,2,300000,A,B. 2
Assets,House,310000,2,310000,A,B. 2
