country,year,Unemployment,Inflation,iso,weocountrycode,chart
France,1980,6.349,13.057,FRA,132,2
France,1981,7.438,13.333,FRA,132,2
France,1982,8.069000000000001,11.978,FRA,132,2
France,1983,7.383,9.460000000000001,FRA,132,2
France,1984,8.458,7.674,FRA,132,2
France,1985,8.699999999999999,5.831,FRA,132,2
France,1986,8.875,2.539,FRA,132,2
France,1987,9.15,3.289,FRA,132,2
France,1988,8.842000000000001,2.701,FRA,132,2
France,1989,8.699999999999999,6.569,FRA,132,2
France,1990,8.4,.323,FRA,132,2
France,1991,8.617000000000001,3.406,FRA,132,2
France,1992,9.442,2.455,FRA,132,2
France,1993,10.267,2.234,FRA,132,2
France,1994,10.667,1.666,FRA,132,2
France,1995,10.508,1.769,FRA,132,2
France,1996,10.833,2.081,FRA,132,2
France,1997,10.892,1.267,FRA,132,2
France,1998,10.692,.675,FRA,132,2
France,1999,10.442,.576,FRA,132,2
France,2000,9.175000000000001,1.815,FRA,132,2
France,2001,8.458,1.783,FRA,132,2
France,2002,8.275,1.94,FRA,132,2
France,2003,8.507999999999999,2.168,FRA,132,2
France,2004,8.824999999999999,2.336,FRA,132,2
France,2005,8.891999999999999,1.887,FRA,132,2
France,2006,8.824999999999999,1.892,FRA,132,2
France,2007,7.983,1.608,FRA,132,2
France,2008,7.458,3.16,FRA,132,2
France,2009,9.083,.101,FRA,132,2
France,2010,9.25,1.738,FRA,132,2
France,2011,9.199999999999999,2.289,FRA,132,2
France,2012,9.766999999999999,2.213,FRA,132,2
France,2013,10.3,.99,FRA,132,2
France,2014,10.283,.612,FRA,132,2
France,2015,10.367,.09,FRA,132,2
France,2016,10.042,.305,FRA,132,2
France,2017,9.425000000000001,1.162,FRA,132,2
France,2018,9.025,2.1,FRA,132,2
France,2019,8.467000000000001,1.3,FRA,132,2
France,2020,8.879,.458,FRA,132,2
France,2021,10.168,.633,FRA,132,2
France,2022,9.464,.976,FRA,132,2
France,2023,8.968,1.189,FRA,132,2
France,2024,8.666,1.501,FRA,132,2
France,2025,8.465999999999999,1.608,FRA,132,2
Germany,1980,3.359,5.447,DEU,134,3
Germany,1981,4.831,6.324,DEU,134,3
Germany,1982,6.734,5.256,DEU,134,3
Germany,1983,8.099,3.284,DEU,134,3
Germany,1984,8.058,2.396,DEU,134,3
Germany,1985,8.124000000000001,2.084,DEU,134,3
Germany,1986,7.834,.125,DEU,134,3
Germany,1987,7.843,.242,DEU,134,3
Germany,1988,7.735,1.274,DEU,134,3
Germany,1989,6.79,2.778,DEU,134,3
Germany,1990,6.155,2.687,DEU,134,3
Germany,1991,5.47,3.474,DEU,134,3
Germany,1992,6.592,5.046,DEU,134,3
Germany,1993,7.775,4.476,DEU,134,3
Germany,1994,8.425000000000001,2.717,DEU,134,3
